,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
37,2023-06-25,CHI,CON,L,-24,80.1,83.5,0.9,1.16,27.7,26.2,26.2,11.2,22.9,66.7,44.1,30-38,23.8,16.9,29-65,44.6,40-80,50.0,4-18,22.2,8-21,38.1,10-17,58.8,8-9,88.9
38,2023-06-28,CHI,LAS,W,17,75.1,76.2,1.07,0.83,31.8,20.6,31.8,30.2,25.7,76.5,50.7,35-34,16.0,21.0,30-66,45.4,22-63,34.9,9-21,42.9,4-13,30.8,11-21,52.4,15-19,79.0
39,2023-06-30,CHI,LAS,W,8,72.9,76.9,1.19,1.03,23.1,19.4,13.8,34.3,28.6,69.7,50.8,31-30,20.8,17.1,37-65,56.9,28-67,41.8,7-15,46.7,4-13,30.8,5-9,55.6,18-23,78.3
40,2023-07-02,CHI,IND,W,2,75.9,78.6,1.19,1.12,41.2,25.0,23.5,26.5,25.7,71.0,47.0,31-35,17.3,19.2,34-68,50.0,35-68,51.5,12-28,42.9,5-17,29.4,9-16,56.2,12-18,66.7
41,2023-07-07,CHI,ATL,L,-14,77.4,77.5,0.88,1.06,35.3,24.6,22.1,18.8,15.8,71.4,42.5,31-42,15.6,20.8,25-68,36.8,33-69,47.8,7-24,29.2,6-17,35.3,11-15,73.3,10-13,76.9
42,2023-07-09,CHI,ATL,L,-11,78.8,75.5,0.99,1.17,30.1,21.3,21.9,20.0,21.6,62.9,41.7,30-42,12.8,13.3,30-73,41.1,35-75,46.7,6-22,27.3,6-16,37.5,11-16,68.8,12-15,80.0
43,2023-07-12,CHI,CON,L,-12,75.8,75.3,0.96,1.12,32.3,29.0,29.0,24.6,24.1,75.0,50.8,31-30,21.3,13.3,25-62,40.3,34-69,49.3,8-20,40.0,6-20,30.0,14-18,77.8,10-17,58.8
46,2023-07-20,CHI,PHO,L,-18,76.5,75.3,0.82,1.07,27.6,29.4,17.1,14.7,34.1,66.7,48.0,37-40,17.1,22.7,26-76,34.2,31-68,45.6,2-21,9.5,9-20,45.0,8-13,61.5,9-10,90.0
48,2023-05-19,CON,IND,W,9,80.7,82.0,0.88,0.75,25.8,36.4,48.5,28.8,30.8,79.5,55.1,43-35,20.0,23.5,21-66,31.8,22-66,33.3,4-17,23.5,6-24,25.0,24-32,75.0,11-19,57.9
49,2023-05-21,CON,WAS,W,6,80.5,82.2,1.0,0.9,26.5,30.4,52.9,31.9,19.0,90.5,54.8,46-38,10.0,13.4,25-68,36.8,27-69,39.1,5-18,27.8,3-21,14.3,25-36,69.4,17-22,77.3
50,2023-05-23,CON,WAS,W,7,78.0,73.2,1.14,1.11,36.1,43.1,49.2,32.3,22.2,66.7,47.6,30-33,16.9,19.2,29-61,47.5,27-65,41.5,8-22,36.4,8-28,28.6,22-30,73.3,19-21,90.5
51,2023-05-27,CON,NYL,L,-16,71.1,72.7,0.92,1.12,36.5,32.4,25.4,19.1,26.3,67.6,45.8,33-39,19.7,18.1,22-63,34.9,32-68,47.1,8-23,34.8,9-22,40.9,13-16,81.2,8-13,61.5
52,2023-05-30,CON,IND,W,3,75.5,76.0,1.08,1.04,29.2,28.8,30.6,19.2,34.2,75.6,54.9,45-37,14.7,13.3,29-72,40.3,31-73,42.5,7-21,33.3,4-21,19.0,16-22,72.7,12-14,85.7
53,2023-06-01,CON,MIN,W,5,74.7,73.4,1.2,1.15,32.4,31.7,15.5,43.3,28.1,69.0,47.5,29-32,14.9,19.2,36-71,50.7,27-60,45.0,7-23,30.4,8-19,42.1,10-11,90.9,22-26,84.6
