,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
47,2022-06-03,CHI,ATL,W,8,77.6,78.3,0.95,0.83,31.2,30.7,32.8,10.7,16.7,76.9,50.7,35-34,20.8,15.4,26-61,42.6,26-75,34.7,5-19,26.3,6-23,26.1,16-20,80.0,7-8,87.5
48,2022-06-05,CHI,WAS,W,9,78.9,78.4,1.17,1.05,30.8,30.7,21.5,8.0,17.2,71.0,47.8,32-35,20.5,19.2,36-65,55.4,34-75,45.3,9-20,45.0,8-23,34.8,10-14,71.4,6-6,100.0
49,2022-06-08,CHI,WAS,L,-2,76.6,73.7,1.08,1.15,29.2,23.5,15.3,29.4,32.3,61.8,47.7,31-34,17.1,17.8,33-72,45.8,32-68,47.1,6-21,28.6,3-16,18.8,10-11,90.9,17-20,85.0
50,2022-06-10,CHI,CON,W,4,73.4,77.7,1.14,1.03,23.0,15.8,27.9,11.8,13.3,73.5,45.3,29-35,16.4,13.0,31-61,50.8,35-76,46.0,6-14,42.9,4-12,33.3,15-17,88.2,5-9,55.6
51,2022-06-12,CHI,NYL,W,2,78.9,80.0,1.13,1.09,23.7,34.8,18.4,18.2,33.3,93.6,61.2,41-26,15.4,17.7,35-76,46.0,32-66,48.5,6-18,33.3,11-23,47.8,12-14,85.7,11-12,91.7
52,2022-06-17,CHI,ATL,W,6,86.4,93.4,1.23,1.08,33.3,25.3,33.3,24.1,30.6,72.0,54.6,47-39,17.4,16.1,35-75,46.7,39-87,44.8,14-25,56.0,8-22,36.4,22-25,88.0,14-21,66.7
53,2022-06-19,CHI,IND,L,-2,82.6,82.6,1.06,1.09,28.6,11.6,22.9,36.2,14.3,71.0,40.9,27-39,17.1,18.3,33-70,47.1,35-69,50.7,9-20,45.0,2-8,25.0,12-16,75.0,17-25,68.0
54,2022-06-21,CHI,LVA,W,9,83.6,82.9,1.25,1.16,33.3,41.3,9.3,25.3,0.0,84.6,48.5,33-35,10.8,11.0,43-75,57.3,33-75,44.0,12-25,48.0,13-31,41.9,6-7,85.7,16-19,84.2
55,2022-06-23,CHI,LAS,W,23,78.6,81.1,1.05,0.73,32.9,22.8,15.7,10.1,18.2,86.0,59.0,49-34,16.7,11.1,32-70,45.7,26-79,32.9,7-23,30.4,3-18,16.7,11-11,100.0,4-8,50.0
56,2022-06-26,CHI,MIN,W,3,77.3,74.4,1.14,1.15,27.7,28.6,26.2,30.4,19.4,87.0,48.2,26-28,18.2,23.0,33-65,50.8,33-56,58.9,8-18,44.4,6-16,37.5,14-17,82.4,13-17,76.5
57,2022-06-29,CHI,CON,W,8,75.3,73.0,1.21,1.15,37.0,23.8,31.5,20.0,23.8,65.1,51.6,33-31,29.3,5.6,32-54,59.3,32-80,40.0,10-20,50.0,6-19,31.6,17-17,100.0,13-16,81.2
58,2022-07-02,CHI,PHO,W,16,79.3,82.0,1.15,0.93,35.1,30.3,42.1,28.8,20.0,82.0,57.8,37-27,25.3,22.2,30-57,52.6,27-66,40.9,10-20,50.0,5-20,25.0,21-24,87.5,16-19,84.2
61,2022-07-06,CHI,MIN,L,-3,79.8,76.6,0.99,1.07,42.3,22.6,9.0,32.3,31.6,81.2,54.3,38-32,17.7,19.7,31-78,39.7,30-62,48.4,10-33,30.3,4-14,28.6,6-7,85.7,17-20,85.0
62,2022-07-07,CHI,IND,W,9,79.1,83.7,1.18,1.01,19.4,24.4,41.9,17.1,32.0,76.7,60.3,41-27,21.5,10.8,34-62,54.8,33-82,40.2,5-12,41.7,9-20,45.0,20-26,76.9,9-14,64.3
63,2022-07-12,CHI,ATL,W,15,78.0,77.2,1.17,0.97,21.2,33.3,31.8,14.5,23.3,73.0,50.8,34-33,16.9,22.1,35-66,53.0,29-69,42.0,5-14,35.7,10-23,43.5,15-21,71.4,7-10,70.0
64,2022-07-14,CHI,LAS,W,12,78.3,77.4,1.03,0.88,27.9,23.9,11.8,8.4,25.8,80.6,55.2,37-30,23.1,18.2,33-68,48.5,28-71,39.4,8-19,42.1,7-17,41.2,6-8,75.0,5-6,83.3
65,2022-07-16,CHI,DAL,W,8,75.0,76.7,1.19,1.07,31.1,24.2,18.9,40.9,34.5,85.7,62.5,40-24,10.7,9.2,35-74,47.3,26-66,39.4,5-23,21.7,7-16,43.8,14-14,100.0,22-27,81.5
66,2022-07-20,CHI,SEA,W,4,69.0,75.7,1.15,0.99,31.8,27.5,16.7,15.9,36.7,75.0,57.6,38-28,17.6,18.7,32-66,48.5,29-69,42.0,5-21,23.8,7-19,36.8,9-11,81.8,9-11,81.8
67,2022-07-22,CHI,DAL,W,6,76.3,81.6,1.17,1.02,33.3,22.1,24.6,13.2,20.0,92.0,50.0,30-30,13.2,18.5,35-69,50.7,35-68,51.5,7-23,30.4,4-15,26.7,12-17,70.6,9-9,100.0
68,2022-07-23,CHI,NYL,L,-3,78.5,83.1,1.03,1.0,32.9,25.0,39.7,20.8,28.6,68.6,46.8,36-41,10.3,22.9,27-73,37.0,31-72,43.1,3-24,12.5,7-18,38.9,23-29,79.3,14-15,93.3
69,2022-07-29,CHI,NYL,W,8,80.5,81.4,1.11,1.0,26.9,40.0,40.3,30.8,25.0,78.1,51.6,33-31,16.2,22.2,30-67,44.8,28-65,43.1,7-18,38.9,7-26,26.9,22-27,81.5,18-20,90.0
70,2022-07-31,CHI,CON,W,3,88.8,91.9,1.08,1.01,20.9,16.5,25.4,14.3,3.8,66.0,43.8,32-41,21.6,16.5,37-67,55.2,39-91,42.9,5-14,35.7,4-15,26.7,16-17,94.1,10-13,76.9
71,2022-08-02,CHI,DAL,L,-6,71.7,73.0,1.1,1.17,34.4,19.4,36.1,37.3,32.4,66.7,49.2,33-34,21.1,12.5,29-61,47.5,30-67,44.8,6-21,28.6,3-13,23.1,14-22,63.6,21-25,84.0
72,2022-08-05,CHI,WAS,W,10,75.6,74.3,1.24,1.12,30.1,36.4,17.8,28.8,22.6,77.1,51.5,34-32,9.3,14.9,36-73,49.3,31-66,47.0,9-22,40.9,8-24,33.3,12-13,92.3,13-19,68.4
73,2022-08-07,CHI,CON,W,3,78.6,83.1,1.21,1.1,40.0,16.7,16.9,19.2,11.5,67.6,43.3,26-34,19.2,15.7,37-65,56.9,36-78,46.2,10-26,38.5,5-13,38.5,10-11,90.9,14-15,93.3
74,2022-08-09,CHI,SEA,L,-11,81.8,78.0,1.23,1.42,32.9,32.0,30.0,16.0,25.0,76.7,51.7,30-28,16.0,10.3,39-70,55.7,44-75,58.7,7-23,30.4,11-24,45.8,15-21,71.4,12-12,100.0
75,2022-08-11,CHI,LVA,L,-11,81.0,76.6,0.98,1.17,32.3,31.3,29.2,29.8,20.0,85.3,54.7,35-29,21.2,11.8,30-65,46.2,31-67,46.3,3-21,14.3,9-21,42.9,15-19,79.0,18-20,90.0
76,2022-08-14,CHI,PHO,W,15,77.8,77.1,1.06,0.87,38.0,22.0,9.9,20.3,13.2,91.3,42.6,26-35,15.6,23.4,32-71,45.1,27-59,45.8,11-27,40.7,3-13,23.1,7-7,100.0,10-12,83.3
78,2022-05-07,CON,NYL,L,-2,77.1,73.2,1.03,1.11,26.6,42.4,43.8,35.6,35.5,76.7,55.7,34-27,19.5,20.6,27-64,42.2,28-59,47.5,4-17,23.5,10-25,40.0,21-28,75.0,15-21,71.4
79,2022-05-14,CON,LAS,W,17,76.1,71.7,1.01,0.85,28.6,22.2,30.0,40.7,59.4,76.5,68.2,45-21,25.0,26.8,28-70,40.0,19-54,35.2,5-20,25.0,3-12,25.0,16-21,76.2,19-22,86.4
80,2022-05-17,CON,NYL,W,27,82.9,80.6,1.12,0.81,24.2,42.3,45.2,34.6,17.9,80.8,48.2,26-28,20.7,36.2,30-62,48.4,22-52,42.3,7-15,46.7,7-22,31.8,25-28,89.3,14-18,77.8
81,2022-05-20,CON,IND,W,9,84.2,81.3,1.12,1.05,26.8,23.8,40.8,20.6,33.3,87.0,55.4,31-25,17.9,23.5,31-71,43.7,34-63,54.0,11-19,57.9,6-15,40.0,21-29,72.4,11-13,84.6
82,2022-05-22,CON,IND,W,22,74.7,72.8,1.24,0.97,19.1,27.0,29.4,42.9,39.3,64.7,53.2,33-29,16.2,18.1,35-68,51.5,22-63,34.9,6-13,46.2,3-17,17.6,16-20,80.0,23-27,85.2
83,2022-05-24,CON,DAL,L,-8,74.5,73.5,1.04,1.16,19.1,31.4,35.3,34.3,31.4,62.9,47.1,33-37,13.5,12.3,27-68,39.7,28-70,40.0,3-13,23.1,7-22,31.8,20-24,83.3,22-24,91.7
84,2022-05-26,CON,DAL,W,31,75.7,76.1,1.32,0.89,30.0,46.2,38.6,18.5,47.1,72.2,60.0,42-28,17.3,25.0,34-70,48.6,24-65,36.9,6-21,28.6,10-30,33.3,25-27,92.6,10-12,83.3
85,2022-05-28,CON,WAS,W,8,70.4,72.8,1.13,0.99,26.3,37.1,33.3,15.7,45.4,81.6,68.3,41-19,25.7,11.1,28-57,49.1,28-70,40.0,7-15,46.7,8-26,30.8,16-19,84.2,7-11,63.6
86,2022-05-31,CON,LVA,L,-8,83.8,86.2,0.98,1.03,28.2,34.2,15.4,27.4,23.8,81.8,49.3,37-38,16.9,16.3,34-78,43.6,33-73,45.2,6-22,27.3,6-25,24.0,7-12,58.3,17-20,85.0
87,2022-06-02,CON,LVA,W,7,80.0,82.2,1.21,1.1,29.2,37.9,26.4,33.3,17.6,91.2,54.4,37-31,11.2,15.8,36-72,50.0,32-66,48.5,9-21,42.9,10-25,40.0,16-19,84.2,16-22,72.7
88,2022-06-03,CON,PHO,W,4,80.8,84.6,1.15,1.05,35.6,50.0,50.8,37.1,32.1,86.7,60.3,35-23,26.2,23.8,28-59,47.5,28-62,45.2,9-21,42.9,10-31,32.3,27-30,90.0,22-23,95.6
89,2022-06-05,CON,SEA,W,7,76.0,79.4,1.22,1.09,27.6,37.1,51.7,18.6,24.0,81.1,58.1,36-26,18.4,17.7,32-58,55.2,34-70,48.6,6-16,37.5,9-26,34.6,23-30,76.7,9-13,69.2
90,2022-06-08,CON,IND,W,19,79.6,80.8,1.11,0.86,25.8,29.2,40.9,19.4,35.5,76.9,58.6,41-29,20.2,18.8,31-66,47.0,27-72,37.5,5-17,29.4,3-21,14.3,21-27,77.8,12-14,85.7
91,2022-06-10,CON,CHI,L,-4,77.7,73.4,1.03,1.14,15.8,23.0,11.8,27.9,26.5,86.7,54.7,35-29,13.0,16.4,35-76,46.0,31-61,50.8,4-12,33.3,6-14,42.9,5-9,55.6,15-17,88.2
92,2022-06-15,CON,ATL,W,13,84.1,82.6,1.25,1.12,33.8,38.2,19.5,21.0,22.6,66.7,47.1,33-37,13.1,19.5,40-77,52.0,35-76,46.0,14-26,53.8,12-29,41.4,11-15,73.3,10-16,62.5
93,2022-06-17,CON,SEA,W,11,77.3,74.4,1.06,0.96,29.0,33.3,11.6,12.1,21.4,89.5,60.6,40-26,18.2,16.2,36-69,52.2,28-66,42.4,5-20,25.0,11-22,50.0,5-8,62.5,4-8,50.0
94,2022-06-19,CON,WAS,L,-8,70.0,74.4,0.9,0.96,31.7,29.2,30.0,26.2,30.6,86.5,58.9,43-30,22.9,13.5,22-60,36.7,27-65,41.5,6-19,31.6,6-19,31.6,13-18,72.2,11-17,64.7
95,2022-06-22,CON,NYL,L,-4,78.0,75.4,0.99,1.08,20.3,46.4,16.2,11.6,22.2,83.9,50.8,34-33,12.8,14.7,31-74,41.9,31-69,44.9,5-15,33.3,13-32,40.6,10-12,83.3,6-8,75.0
96,2022-06-26,CON,ATL,W,11,80.0,78.6,0.9,0.78,30.8,30.2,29.2,28.6,30.3,83.3,58.0,40-29,25.0,21.8,27-65,41.5,21-63,33.3,2-20,10.0,5-19,26.3,16-19,84.2,14-18,77.8
97,2022-06-29,CON,CHI,L,-8,73.0,75.3,1.15,1.21,23.8,37.0,20.0,31.5,34.9,76.2,48.4,31-33,5.6,29.3,32-80,40.0,32-54,59.3,6-19,31.6,10-20,50.0,13-16,81.2,17-17,100.0
100,2022-07-03,CON,WAS,W,2,83.6,84.3,0.89,0.86,26.1,30.4,23.2,29.0,17.6,78.0,50.7,38-37,20.5,22.6,30-69,43.5,27-69,39.1,6-18,33.3,4-21,19.0,8-16,50.0,14-20,70.0
101,2022-07-05,CON,DAL,L,-11,77.0,73.4,0.93,1.12,30.8,36.6,21.5,23.9,14.8,69.4,46.0,29-34,17.1,12.3,28-65,43.1,32-71,45.1,4-20,20.0,6-26,23.1,11-14,78.6,12-17,70.6
102,2022-07-13,CON,IND,W,8,81.2,82.0,1.1,1.0,28.4,30.9,35.8,27.9,34.5,80.0,59.4,38-26,21.0,19.8,31-67,46.3,30-68,44.1,6-19,31.6,6-21,28.6,21-24,87.5,15-19,79.0
103,2022-07-15,CON,ATL,W,25,79.8,81.0,1.18,0.85,31.3,21.0,47.8,30.6,27.8,87.9,56.5,39-30,15.2,22.5,30-67,44.8,26-62,41.9,8-21,38.1,2-13,15.4,25-32,78.1,14-19,73.7
104,2022-07-17,CON,LVA,L,-8,80.7,78.3,1.04,1.17,27.7,48.6,24.6,32.4,33.3,75.6,57.8,41-30,27.5,9.0,31-65,47.7,31-74,41.9,7-18,38.9,9-36,25.0,14-16,87.5,20-24,83.3
105,2022-07-19,CON,NYL,W,19,72.5,77.4,1.14,0.82,18.0,40.9,39.3,9.1,28.6,83.8,60.0,39-26,16.7,23.4,30-61,49.2,24-66,36.4,5-11,45.4,9-27,33.3,17-24,70.8,6-6,100.0
106,2022-07-22,CON,MIN,W,10,74.6,73.6,1.27,1.15,31.3,25.8,19.4,21.0,16.0,72.0,44.0,22-28,12.2,21.9,37-67,55.2,34-62,54.8,10-21,47.6,5-16,31.2,10-13,76.9,11-13,84.6
107,2022-07-24,CON,MIN,W,7,77.6,79.8,1.12,1.0,29.8,18.6,29.8,20.0,41.9,73.0,58.8,40-28,23.4,21.5,31-67,46.3,30-70,42.9,8-20,40.0,6-13,46.2,16-20,80.0,13-14,92.9
108,2022-07-28,CON,SEA,W,5,79.6,74.1,1.11,1.12,28.8,29.7,27.3,21.9,25.9,75.0,52.5,31-28,20.2,20.3,32-66,48.5,31-64,48.4,8-19,42.1,9-19,47.4,16-18,88.9,12-14,85.7
109,2022-07-31,CON,CHI,L,-3,91.9,88.8,1.01,1.08,16.5,20.9,14.3,25.4,34.0,96.2,56.2,41-32,16.5,21.6,39-91,42.9,37-67,55.2,4-15,26.7,5-14,35.7,10-13,76.9,16-17,94.1
110,2022-08-02,CON,PHO,W,24,75.3,76.8,1.16,0.83,27.0,42.2,23.0,25.0,36.8,76.9,57.1,44-33,14.7,23.7,34-74,46.0,23-64,35.9,7-20,35.0,6-27,22.2,12-17,70.6,11-16,68.8
111,2022-08-04,CON,PHO,W,13,75.8,72.3,1.03,0.89,26.8,37.7,35.2,17.4,56.8,71.7,65.1,54-29,24.0,19.4,26-71,36.6,23-69,33.3,6-19,31.6,9-26,34.6,19-25,76.0,9-12,75.0
112,2022-08-07,CON,CHI,L,-3,83.1,78.6,1.1,1.21,16.7,40.0,19.2,16.9,32.4,88.5,56.7,34-26,15.7,19.2,36-78,46.2,37-65,56.9,5-13,38.5,10-26,38.5,14-15,93.3,10-11,90.9
113,2022-08-09,CON,LAS,W,26,84.2,80.8,1.15,0.89,25.3,25.4,17.3,23.7,33.3,96.7,63.5,40-23,21.4,25.0,38-75,50.7,27-59,45.8,8-19,42.1,6-15,40.0,13-13,100.0,11-14,78.6
114,2022-08-11,CON,LAS,W,24,82.1,79.1,1.13,0.87,30.9,26.5,35.3,14.7,41.4,81.1,63.6,42-24,23.2,21.5,34-68,50.0,28-68,41.2,7-21,33.3,5-18,27.8,18-24,75.0,8-10,80.0
